code;name
SECTION A;AGRICULTURE, SYLVICULTURE ET PÊCHE
1;Culture et production animale, chasse et services annexes
1.1;Cultures non permanentes
1.11;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
01.11Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
1.12;Culture du riz
01.12Z;Culture du riz
1.13;Culture de légumes, de melons, de racines et de tubercules
01.13Z;Culture de légumes, de melons, de racines et de tubercules
1.14;Culture de la canne à sucre
01.14Z;Culture de la canne à sucre
1.15;Culture du tabac
01.15Z;Culture du tabac
1.16;Culture de plantes à fibres
01.16Z;Culture de plantes à fibres
1.19;Autres cultures non permanentes
01.19Z;Autres cultures non permanentes
1.2;Cultures permanentes
1.21;Culture de la vigne
01.21Z;Culture de la vigne
1.22;Culture de fruits tropicaux et subtropicaux
01.22Z;Culture de fruits tropicaux et subtropicaux
1.23;Culture d'agrumes
01.23Z;Culture d'agrumes
1.24;Culture de fruits à pépins et à noyau
01.24Z;Culture de fruits à pépins et à noyau
1.25;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
01.25Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
1.26;Culture de fruits oléagineux
01.26Z;Culture de fruits oléagineux
1.27;Culture de plantes à boissons
01.27Z;Culture de plantes à boissons
1.28;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
01.28Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
1.29;Autres cultures permanentes
01.29Z;Autres cultures permanentes
1.3;Reproduction de plantes
1.3;Reproduction de plantes
01.30Z;Reproduction de plantes
1.4;Production animale
1.41;Élevage de vaches laitières
01.41Z;Élevage de vaches laitières
1.42;Élevage d'autres bovins et de buffles
01.42Z;Élevage d'autres bovins et de buffles
1.43;Élevage de chevaux et d'autres équidés
01.43Z;Élevage de chevaux et d'autres équidés
1.44;Élevage de chameaux et d'autres camélidés
01.44Z;Élevage de chameaux et d'autres camélidés
1.45;Élevage d'ovins et de caprins
01.45Z;Élevage d'ovins et de caprins
1.46;Élevage de porcins
01.46Z;Élevage de porcins
1.47;Élevage de volailles
01.47Z;Élevage de volailles
1.49;Élevage d'autres animaux
01.49Z;Élevage d'autres animaux
1.5;Culture et élevage associés
1.5;Culture et élevage associés
01.50Z;Culture et élevage associés
1.6;Activités de soutien à l'agriculture et traitement primaire des récoltes
1.61;Activités de soutien aux cultures
01.61Z;Activités de soutien aux cultures
1.62;Activités de soutien à la production animale
01.62Z;Activités de soutien à la production animale
1.63;Traitement primaire des récoltes
01.63Z;Traitement primaire des récoltes
1.64;Traitement des semences
01.64Z;Traitement des semences
1.7;Chasse, piégeage et services annexes
1.7;Chasse, piégeage et services annexes
